bar_ts_utc,close_adj,fwd_ret_5,state_ext,state_slope,state_vol,state_session,candidate_name,candidate_side,dir_fwd_ret_5,slice_combination
2023-02-21 05:00:00+00:00,128.68,0.03341622629779284,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.03341622629779284,state_ext=stretched_down + state_slope=downtrend
2023-02-22 05:00:00+00:00,128.49,0.05813681998599107,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.05813681998599107,state_ext=stretched_down + state_slope=downtrend
2023-02-23 05:00:00+00:00,132.38,0.040942740595256266,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.040942740595256266,state_ext=stretched_down + state_slope=downtrend
2023-02-28 05:00:00+00:00,132.98,0.02286058053842699,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.02286058053842699,state_ext=stretched_down + state_slope=downtrend
2023-03-10 05:00:00+00:00,128.03,-0.08138717488088731,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.08138717488088731,state_ext=stretched_down + state_slope=downtrend
2023-03-13 04:00:00+00:00,124.1,-0.03738920225624498,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,-0.03738920225624498,state_ext=stretched_down + state_slope=downtrend
2023-03-14 04:00:00+00:00,124.95,-0.011364545818327354,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,-0.011364545818327354,state_ext=stretched_down + state_slope=downtrend
2023-03-15 04:00:00+00:00,117.01,0.027946329373557788,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.027946329373557788,state_ext=stretched_down + state_slope=downtrend
2023-03-16 04:00:00+00:00,120.32,-0.015209441489361653,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.015209441489361653,state_ext=stretched_down + state_slope=downtrend
2023-03-17 04:00:00+00:00,117.61,0.018450812005781803,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.018450812005781803,state_ext=stretched_down + state_slope=downtrend
2023-03-20 04:00:00+00:00,119.46,0.03021932027456886,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.03021932027456886,state_ext=stretched_down + state_slope=downtrend
2023-03-21 04:00:00+00:00,123.53,0.009147575487735704,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.009147575487735704,state_ext=stretched_down + state_slope=downtrend
2023-03-22 04:00:00+00:00,120.28,0.04863651479880282,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.04863651479880282,state_ext=stretched_down + state_slope=downtrend
2023-03-23 04:00:00+00:00,118.49,0.06346527133091406,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.06346527133091406,state_ext=stretched_down + state_slope=downtrend
2023-03-24 04:00:00+00:00,119.78,0.06562030389046591,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.06562030389046591,state_ext=stretched_down + state_slope=downtrend
2023-03-27 04:00:00+00:00,123.07,0.08775493621516217,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.08775493621516217,state_ext=stretched_down + state_slope=downtrend
2023-03-28 04:00:00+00:00,124.66,0.04913364351034821,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.04913364351034821,state_ext=stretched_down + state_slope=downtrend
2023-04-27 04:00:00+00:00,123.81,-0.0613036103707294,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,-0.0613036103707294,state_ext=stretched_down + state_slope=downtrend
2023-04-28 04:00:00+00:00,127.125,-0.05360865290068828,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,-0.05360865290068828,state_ext=stretched_down + state_slope=downtrend
2023-05-01 04:00:00+00:00,126.19,-0.043981298042634065,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,-0.043981298042634065,state_ext=stretched_down + state_slope=downtrend
2023-05-02 04:00:00+00:00,120.35,-0.003489821354382916,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,-0.003489821354382916,state_ext=stretched_down + state_slope=downtrend
